4.182, 4.068, 0.1146, 47.0277, 0.0010 0.5688, 0.5145 
4.195, 4.081, 0.1142, 47.1418, -0.0004 0.5682, 0.5140 
4.209, 4.094, 0.1147, 47.2565, 0.0005 0.5704, 0.5156 
4.223, 4.108, 0.1152, 47.3717, 0.0005 0.5723, 0.5171 
4.237, 4.121, 0.1156, 47.4874, 0.0004 0.5741, 0.5184 
4.250, 4.135, 0.1150, 47.6024, -0.0006 0.5730, 0.5176 
4.264, 4.148, 0.1153, 47.7177, 0.0003 0.5747, 0.5188 
4.278, 4.162, 0.1157, 47.8335, 0.0004 0.5764, 0.5200 
4.292, 4.175, 0.1166, 47.9501, 0.0009 0.5794, 0.5223 
4.306, 4.189, 0.1170, 48.0671, 0.0003 0.5809, 0.5233 
4.320, 4.203, 0.1172, 48.1843, 0.0002 0.5822, 0.5243 
4.334, 4.216, 0.1174, 48.3017, 0.0002 0.5833, 0.5251 
4.348, 4.230, 0.1175, 48.4192, 0.0001 0.5843, 0.5258 
4.362, 4.244, 0.1176, 48.5368, 0.0001 0.5852, 0.5264 
4.377, 4.258, 0.1187, 48.6554, 0.0011 0.5888, 0.5290 
4.391, 4.272, 0.1187, 48.7741, 0.0000 0.5894, 0.5294 
4.405, 4.286, 0.1193, 48.8934, 0.0006 0.5918, 0.5312 
4.419, 4.300, 0.1192, 49.0126, -0.0001 0.5920, 0.5314 
4.433, 4.314, 0.1190, 49.1316, -0.0002 0.5922, 0.5315 
4.448, 4.328, 0.1198, 49.2514, 0.0008 0.5952, 0.5336 
4.462, 4.342, 0.1196, 49.3710, -0.0002 0.5952, 0.5336 
4.477, 4.356, 0.1204, 49.4914, 0.0008 0.5981, 0.5357 
4.492, 4.371, 0.1212, 49.6126, 0.0008 0.6007, 0.5376 
4.506, 4.385, 0.1207, 49.7333, -0.0004 0.6001, 0.5371 
4.520, 4.399, 0.1213, 49.8547, 0.0006 0.6026, 0.5389 
4.535, 4.413, 0.1219, 49.9766, 0.0006 0.6048, 0.5405 
4.550, 4.428, 0.1225, 50.0991, 0.0005 0.6069, 0.5419 
4.565, 4.442, 0.1229, 50.2220, 0.0004 0.6087, 0.5432 
4.580, 4.457, 0.1232, 50.3452, 0.0003 0.6102, 0.5443 
4.594, 4.472, 0.1225, 50.4676, -0.0008 0.6088, 0.5433 
4.609, 4.486, 0.1227, 50.5904, 0.0003 0.6104, 0.5444 
